번호,평가월,학년,선생님,과목,종합평균,Q1.수업내용이해도,Q2.수업준비성실도,Q3.설명명확성,Q4.질문답변,Q5.진도적절성,Q6.숙제부담,Q7.수업집중도,Q8.성적향상도움,Q9.강사친절도,Q10.강사전문성,Q11.수업만족도,Q12.추천의향,Q13.강의열정,Q14.목표달성도움,Q15.과목수행평가일정체크(고1·고2),Q16.세특소재질문관리도움(고1·고2),R1.런투런활용,R2.런투런이해도,R3.런투런만족도,개선사항(주관식),좋았던점(주관식),제출일시
1,4월,고2,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,2026. 4. 18. 오후 5:27:49
2,4월,고2,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,2026. 4. 17. 오후 7:05:31
3,4월,고1,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,상식이 늘어나는 기분이 좋았다,2026. 4. 16. 오전 10:57:07
4,4월,고2,지성현,과학,3.5,4,4,4,2,3,4,4,4,4,4,2,2,4,5,4,2,,,,,,2026. 4. 16. 오전 8:27:06
5,4월,고2,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,2026. 4. 16. 오전 8:14:26
6,4월,고2,지성현,과학,4.81,5,5,5,5,5,3,5,4,5,5,5,5,5,5,5,5,,,,,,2026. 4. 16. 오전 2:00:45
7,4월,고1,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,2026. 4. 16. 오전 12:48:21
8,4월,고2,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,2026. 4. 15. 오후 10:56:34
9,4월,고2,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,2026. 4. 15. 오후 10:53:58
10,4월,고1,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,2026. 4. 15. 오후 10:20:50
11,4월,고1,지성현,과학,4.56,5,4,4,4,4,4,5,5,5,4,4,5,5,5,5,5,,,,,질문도 언제든 친절하게 받아주시고 수업도 이해가 잘되요!!,2026. 4. 15. 오후 10:17:45
12,4월,고1,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,시험 잘 보겠습니다,쌤 수업을 듣고 과학이 좋아졌어요 이해될때마다 재밌고 시험 잘 보고 싶습니다.,2026. 4. 15. 오후 10:17:39
13,4월,고2,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,2026. 4. 15. 오후 10:16:50
14,4월,고2,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,2026. 4. 15. 오후 10:16:39
15,4월,고2,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,2026. 4. 15. 오후 10:16:35
16,4월,고1,지성현,과학,4.94,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,,,,없음,수업 열심히 해주시는것,2026. 4. 15. 오후 10:16:24
17,4월,고1,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,2026. 4. 15. 오후 10:14:53
18,4월,고1,지성현,과학,3.94,4,4,4,4,5,4,5,5,4,4,4,4,4,4,2,2,,,,,,2026. 4. 15. 오후 10:14:47
19,4월,고1,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,성현쌤 최고 과학이 좋아졌어요,2026. 4. 15. 오후 10:13:47
20,4월,고1,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,그냥 지나치는 개념이나 유형을 빠지지 않고 해설해주신다.,2026. 4. 15. 오후 10:13:05
21,4월,고1,지성현,과학,4.88,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,,,,,,2026. 4. 15. 오후 10:15:56
22,4월,고1,지성현,과학,4.75,5,5,5,4,5,5,5,4,5,5,5,5,5,5,4,4,,,,과학수업이재밌어요,수업이 재밌고 실력도 많이 는다는게 느껴져요,2026. 4. 15. 오후 10:12:54
23,4월,고1,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,2026. 4. 15. 오후 10:11:54
24,4월,고1,지성현,과학,4.94,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,,,,,,2026. 4. 15. 오후 10:11:54
25,4월,고1,지성현,과학,3.69,4,3,4,4,4,3,4,4,4,3,3,5,4,4,3,3,,,,,,2026. 4. 15. 오후 10:11:33
26,4월,고2,지성현,과학,4.88,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,,,,,,2026. 4. 15. 오후 10:11:30
27,4월,고2,지성현,과학,4.69,5,4,5,3,5,5,5,5,5,5,3,5,5,5,5,5,,,,,,2026. 4. 15. 오후 10:11:12
28,4월,고1,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,제가 제일 좋아하는 쌤인거 아시죠?,,2026. 4. 15. 오후 10:11:03
29,4월,고1,지성현,과학,4.94,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,,,,,,2026. 4. 15. 오후 10:10:58
30,4월,고2,지성현,과학,4.94,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,2026. 4. 15. 오후 10:10:43
31,4월,고1,지성현,과학,4.13,5,4,4,3,4,4,4,4,4,4,5,5,4,4,4,4,,,,,,2026. 4. 15. 오후 10:10:39
32,4월,고1,지성현,과학,4,4,5,3,4,4,4,5,5,4,3,3,4,4,4,4,4,,,,,,2026. 4. 15. 오후 10:10:34
33,4월,고2,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,2026. 4. 15. 오후 10:10:26
34,4월,고1,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,2026. 4. 15. 오후 10:10:24
35,4월,고1,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,2026. 4. 15. 오후 10:10:24
36,4월,고2,지성현,과학,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,2026. 4. 15. 오후 10:10:23
37,4월,고2,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,2026. 4. 15. 오후 10:10:23
38,4월,고1,지성현,과학,4.25,4,5,5,5,5,5,5,4,4,4,4,5,4,3,3,3,,,,,,2026. 4. 15. 오후 10:10:10
39,4월,고1,지성현,과학,4.13,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,,,,,,2026. 4. 15. 오후 10:10:01
40,4월,고1,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,2026. 4. 15. 오후 10:09:33
41,4월,고1,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,2026. 4. 15. 오후 10:09:09
42,4월,고1,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,2026. 4. 15. 오후 10:09:00
43,4월,고1,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,2026. 4. 15. 오후 10:08:00
44,4월,고1,지성현,과학,4.56,5,4,4,5,5,4,5,5,5,5,5,5,4,4,4,4,,,,,,2026. 4. 15. 오후 9:05:30
45,4월,고1,지성현,과학,4.56,4,5,4,4,5,4,5,5,5,5,4,5,5,4,4,5,,,,,,2026. 4. 15. 오후 8:23:58
46,4월,고2,지성현,과학,3.94,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,5,,,,,,2026. 4. 15. 오후 7:24:43
47,4월,고1,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,2026. 4. 15. 오후 5:46:30
48,4월,고1,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,2026. 4. 15. 오후 5:38:35
49,4월,고2,지성현,과학,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,2026. 4. 15. 오후 4:24:25
,,,,,4.755714286,4.816326531,4.755102041,4.755102041,4.632653061,4.816326531,4.693877551,4.87755102,4.816326531,4.836734694,4.755102041,4.673469388,4.836734694,4.775510204,4.775510204,4.612244898,4.653061224,,,,,,
,,,,,,4,9,9,15,4,12,1,4,2,9,13,2,7,7,16,14,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,높은 것 순서,Q7. 수업 집중도,Q9. 강사 친절도,Q12. 추천의향,Q1. 수업내용이해도,Q5. 진도적절성,Q8. 성적향상도움,,,,,,,,,,,,,,,,
,,,,,낮은 것 순서,Q15. 과목수행평가일정체크,Q4. 질문답변,Q16. 세특소재질문관리도움,Q11. 수업만족도,Q6. 숙제부담,,,,,,,,,,,,,,,,,
